Date,Closing Price,Return
107/02/01,259.50,0.01765
107/02/02,259.50,0.0
107/02/05,253.00,-0.02505
107/02/06,239.00,-0.05534
107/02/07,240.00,0.00418
107/02/08,238.50,-0.00625
107/02/09,232.50,-0.02516
107/02/12,236.50,0.0172
107/02/21,242.50,0.02537
107/02/22,239.50,-0.01237
107/02/23,245.00,0.02296
107/02/26,246.50,0.00612
107/02/27,246.00,-0.00203
107/03/01,243.00,-0.0122
107/03/02,240.00,-0.01235
107/03/05,241.50,0.00625
107/03/06,250.00,0.0352
107/03/07,247.00,-0.012
107/03/08,249.50,0.01012
107/03/09,250.50,0.00401
107/03/12,254.00,0.01397
107/03/13,259.00,0.01969
107/03/14,257.00,-0.00772
107/03/15,255.00,-0.00778
107/03/16,255.00,0.0
107/03/19,255.00,0.0
107/03/20,253.00,-0.00784
107/03/21,252.50,-0.00198
107/03/22,251.50,-0.00396
107/03/23,245.00,-0.02584
107/03/26,243.50,-0.00612
107/03/27,251.00,0.0308
107/03/28,245.00,-0.0239
107/03/29,244.00,-0.00408
107/03/30,246.00,0.0082
107/03/31,247.50,0.0061
107/04/02,246.50,-0.00404
107/04/03,244.00,-0.01014
107/04/09,245.00,0.0041
107/04/10,245.50,0.00204
107/04/11,248.00,0.01018
107/04/12,245.00,-0.0121
107/04/13,244.50,-0.00204
107/04/16,243.50,-0.00409
107/04/17,238.00,-0.02259
107/04/18,238.00,0.0
107/04/19,244.50,0.02731
107/04/20,229.00,-0.06339
107/04/23,226.50,-0.01092
107/04/24,227.00,0.00221
107/04/25,225.00,-0.00881
107/04/26,222.00,-0.01333
107/04/27,223.50,0.00676
107/04/30,227.00,0.01566
107/05/02,223.00,-0.01762
107/05/03,220.50,-0.01121
107/05/04,223.00,0.01134
107/05/07,223.50,0.00224
107/05/08,228.00,0.02013
107/05/09,229.50,0.00658
107/05/10,229.50,0.0
107/05/11,233.00,0.01525
107/05/14,233.00,0.0
107/05/15,230.50,-0.01073
107/05/16,230.50,0.0
107/05/17,226.50,-0.01735
107/05/18,223.50,-0.01325
107/05/21,229.00,0.02461
107/05/22,229.00,0.0
107/05/23,228.50,-0.00218
107/05/24,229.00,0.00219
107/05/25,228.50,-0.00218
107/05/28,227.00,-0.00656
107/05/29,225.00,-0.00881
107/05/30,221.00,-0.01778
107/05/31,224.00,0.01357
107/06/01,224.00,0.0
107/06/04,229.00,0.02232
107/06/05,229.00,0.0
107/06/06,230.00,0.00437
107/06/07,230.00,0.0
107/06/08,227.00,-0.01304
107/06/11,226.00,-0.00441
107/06/12,229.00,0.01327
107/06/13,232.00,0.0131
107/06/14,226.50,-0.02371
107/06/15,231.00,0.01987
107/06/19,225.00,-0.02597
107/06/20,226.00,0.00444
107/06/21,226.50,0.00221
107/06/22,227.50,0.00442
107/06/25,218.00,-0.04176
